STATE/ACTION,"{'place': 'PreContext', 'substring': ''}","{'place': 'PreContext', 'substring': '"">'}","{'place': 'PreContext', 'substring': '</textarea>'}","{'place': 'PreContext', 'substring': '-->'}","{'place': 'PreContext', 'substring': '""'}","{'place': 'PreContext', 'substring': ""'""}","{'place': 'PreContext', 'substring': ""';""}","{'place': 'PreContext', 'substring': '"";'}","{'place': 'PreContext', 'substring': ';'}","{'place': 'PreContext', 'substring': '*/'}","{'place': 'Context', 'substring': ''}","{'place': 'Context', 'substring': '<script>'}","{'place': 'Context', 'substring': 'javascript:'}","{'place': 'Context', 'substring': 'onerror='}","{'place': 'ExploitCode', 'substring': ''}","{'place': 'ExploitCode', 'substring': 'alert(1);'}","{'place': 'PreExploit', 'substring': ''}","{'place': 'PreExploit', 'substring': '""'}","{'place': 'PreExploit', 'substring': ""'""}","{'place': 'PreExploit', 'substring': '%0A%0D'}","{'place': 'PostContext', 'substring': ''}","{'place': 'PostContext', 'substring': '</script>'}","{'place': 'PostContext', 'substring': '//'}","{'place': 'PostContext', 'substring': '/*'}"
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': ''}",-3.781541774868632899e+01,-3.765995264257691844e+01,7.717829409207020319e+01,-3.572554224421772062e+01,-3.934822843851191010e+01,-4.253116099155725038e+01,-3.838790065450852040e+01,-3.618673782439773134e+01,-4.623342245065600764e+01,-3.868850052293679198e+01,-4.283166992668378015e+01,7.554123158023280382e+01,-3.115944341924262773e+01,-3.410521657223513614e+01,-5.718164197073205202e+01,7.420593433416485141e+01,7.717465815985806898e+01,-6.426532153928845048e+01,-6.418413823128938134e+01,-6.523942969997312957e+01,-3.554344643240276014e+01,8.129349648007109863e+01,-3.867352465809402418e+01,-4.297426118925486804e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': '""'}",-4.413823053276127695e+01,-3.860020073412128738e+01,7.359302735333093892e+01,-4.166644839128149869e+01,-4.738650132945610238e+01,-4.257928327227214282e+01,-4.015157541760011384e+01,-4.484124464840311219e+01,-4.449477493102694581e+01,-4.554800333556434566e+01,-4.228081377778669747e+01,6.993649790952001410e+01,-4.396655860437272878e+01,-4.345224360219815196e+01,-6.100621866332707555e+01,6.317181908830542625e+01,7.847161262461965237e+01,-4.319196299891191870e+01,-4.726518237764289410e+01,-4.418194389516358456e+01,-4.862068282658724883e+01,7.143951772917532139e+01,-4.293242396375399750e+01,-4.344995023200793582e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': ""'""}",-3.887034197065620589e+01,-4.081518569050020773e+01,7.372024406462882951e+01,-4.100155014343167181e+01,-4.481806940329168754e+01,-4.169326744914560123e+01,-4.420139184138354693e+01,-4.227595298261064727e+01,-4.721313861870429207e+01,-4.200092740058044427e+01,-3.950874675529984614e+01,7.029010253793235563e+01,-4.605523701083845367e+01,-4.231869499045061644e+01,-6.180642310469661282e+01,5.951465694449520072e+01,7.459167310059815748e+01,-4.765037944078203225e+01,-4.604698797207085903e+01,-3.964980520744872905e+01,-4.212559835366393912e+01,7.341920235782525594e+01,-4.299678080990805995e+01,-5.136861617603898367e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '//', 'PreExploit': '%0A%0D'}",-3.941056840476396417e+01,-3.925328274222671610e+01,7.660663145169223753e+01,-3.888721738848416010e+01,-4.587329224540606987e+01,-4.412762016206663418e+01,-4.246099763606996191e+01,-4.335494484446536489e+01,-4.207270121045650058e+01,-4.454907467152901290e+01,-3.863775478403175612e+01,6.921921585392267673e+01,-4.306813904850905317e+01,-3.557596390083644167e+01,-6.526744273523668483e+01,6.688753528358476785e+01,7.099559562945680113e+01,-4.743852261942143400e+01,-4.862432327933430543e+01,-4.280403605615556728e+01,-3.428477954325052224e+01,7.012859786249805438e+01,-4.337203371602769408e+01,-4.140977763950439083e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': ''}",-4.426502623041500328e+01,-4.096386568168431808e+01,7.260262789916150439e+01,-4.232384691136282839e+01,-4.182598381774529628e+01,-4.266987360971633336e+01,-3.539017901839820013e+01,-3.834516785859003818e+01,-4.175158573048448574e+01,-3.485478005120259581e+01,-3.634758127029796526e+01,7.766500442066097776e+01,-3.961556343478412145e+01,-3.689045443620884868e+01,-5.898916071374673464e+01,6.703508920031252671e+01,7.426299005163369316e+01,-6.252811837357989333e+01,-6.458356199383946716e+01,-6.509495928785739238e+01,-3.590014568048212595e+01,7.311595014731938136e+01,-3.511904677576296052e+01,-3.818717177197707713e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': '""'}",-4.249308170617266001e+01,-4.195194018876172493e+01,6.514374407222088337e+01,-4.843428531791487757e+01,-3.432973883204491017e+01,-4.919117162570397284e+01,-3.976036491740098455e+01,-4.543610213203017878e+01,-4.205532862509279113e+01,-3.813368783371515036e+01,-4.157318216839205860e+01,7.643490901992832676e+01,-4.199229649369853945e+01,-3.734118282972833214e+01,-6.374125895391561158e+01,6.042593038889957313e+01,6.969271005442102762e+01,-4.199416173365961669e+01,-4.626176684063714362e+01,-4.264256382124599298e+01,-4.167424290801133679e+01,7.166584744995344636e+01,-4.158435268824788267e+01,-3.986633790068187722e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': ""'""}",-4.362913490941146932e+01,-4.378867545771006320e+01,6.824926752102840055e+01,-4.506349029118670302e+01,-4.449365235922208228e+01,-4.400972942557319101e+01,-4.393816967089921377e+01,-4.617813625252632193e+01,-4.496294136191993118e+01,-4.185346821765229208e+01,-4.122717773851559286e+01,7.914306801605863484e+01,-4.639782447396534337e+01,-4.393881778174027630e+01,-6.895090699148443036e+01,6.603662682025915842e+01,7.154701998811695773e+01,-4.519223258126414322e+01,-4.762982916226171426e+01,-4.104878890703061955e+01,-4.024037016462055760e+01,7.273819214156118562e+01,-4.220792133959316317e+01,-4.622436141960236711e+01
"{'PreContext': '"";', 'Context': 'javascript:', 'ExploitCode': 'alert(1);', 'PostContext': '/*', 'PreExploit': '%0A%0D'}",-4.174635941873624034e+01,-4.224215717450885421e+01,7.497988357024493666e+01,-4.201719325406782701e+01,-4.271156335903530987e+01,-4.238544874664344775e+01,-4.313998840867587603e+01,-4.727392119006851345e+01,-4.519068158597427498e+01,-4.022930858746111227e+01,-3.455231389541373233e+01,7.281092568753476257e+01,-4.515500022249348433e+01,-3.706300148272877237e+01,-6.253088364926384912e+01,6.197716161699416659e+01,7.191398302691960964e+01,-4.026257418104992780e+01,-4.481181805198052359e+01,-4.483678385256359888e+01,-4.237418541502107416e+01,7.225759434477534171e+01,-4.126750650499988637e+01,-4.209044350839603510e+01
"{'PreContext': '"";', 'Context': 'onerror=', 'ExploitCode': '', 'PostContext': '', 'PreExploit': ''}",-3.569155679702046058e+01,-3.465061972272493307e+01,7.206192511480651319e+01,-3.896087174541828091e+01,-3.957728037100422114e+01,-4.159281733171420115e+01,-4.240943234558617547e+01,-3.716286934033895761e+01,-4.176150362715709718e+01,-4.159504444100853959e+01,-4.025319730001255891e+01,7.204294708375580569e+01,-4.453616867401586177e+01,-4.118340110862565240e+01,-3.736991578029604000e+01,7.949570243489816335e+01,7.038260308764144213e+01,-6.241265756654097174e+01,-6.304972504539242806e+01,-6.613670341126351104e+01,-4.170000333573543827e+01,7.622869407824397570e+01,-4.025610283780904552e+01,-3.714760318200669076e+01
"{'PreContext': '"";', 'Context': 'onerror=', 'ExploitCode': '', 'PostContext': '', 'PreExploit': '""'}",-4.566443581724482215e+01,-3.947095784388273643e+01,7.099123243756116608e+01,-4.452290422863680419e+01,-4.512790231709610111e+01,-3.940501849066626505e+01,-5.152877435990152577e+01,-4.073265875665801872e+01,-4.592931303624532546e+01,-4.129049778434448115e+01,-4.190246902680709695e+01,7.278597699847668423e+01,-4.259848363146400629e+01,-3.852977483273613757e+01,-3.843541512759922796e+01,7.655108464154518799e+01,7.267677436684117254e+01,-4.495485976767105285e+01,-4.518387717610983856e+01,-4.385963813782468179e+01,-4.113219566467681432e+01,7.083694436242024040e+01,-4.152033336883256709e+01,-3.644951077908118720e+01
